Patient ID,Specialty,Referral Source,Engagement History,Website Interactions,Lead Source,Conversion Probability,Lead Score
L25795,Cardiology,Digital Ad,Visited website 4 times,Visited 3 pages,Digital Ad,57.0,65.28
L10860,Orthopedics,Doctor Referral,Visited website 2 times,Visited 4 pages,Organic Search,40.0,50.79
L86820,Neurology,Doctor Referral,Visited website 2 times,Visited 1 pages,Digital Ad,34.0,43.42
L64886,Cardiology,Digital Ad,Visited website 1 times,Visited 1 pages,Digital Ad,36.0,47.93
L16265,Neurology,Word of Mouth,Visited website 1 times,Visited 2 pages,Digital Ad,43.0,37.33
L92386,Neurology,Digital Ad,Visited website 9 times,Visited 1 pages,Organic Search,41.0,62.52
L47194,Pediatrics,Word of Mouth,Visited website 2 times,Visited 2 pages,Referral,32.0,8.19
L97498,Pediatrics,Digital Ad,Visited website 8 times,Visited 2 pages,Organic Search,37.0,29.95
L54131,Orthopedics,Word of Mouth,Visited website 5 times,Visited 4 pages,Referral,60.0,49.26
L70263,Orthopedics,Word of Mouth,Visited website 2 times,Visited 2 pages,Organic Search,41.0,37.94
L26023,Pediatrics,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,73.0,48.59
L51090,Cardiology,Word of Mouth,Visited website 6 times,Visited 3 pages,Organic Search,58.0,73.94
L77221,Cardiology,Digital Ad,Visited website 2 times,Visited 1 pages,Organic Search,34.0,58.78
L74820,Neurology,Doctor Referral,Visited website 8 times,Visited 4 pages,Referral,49.0,69.28
L10769,Orthopedics,Word of Mouth,Visited website 9 times,Visited 4 pages,Referral,45.0,48.49
L69735,Pediatrics,Word of Mouth,Visited website 3 times,Visited 3 pages,Organic Search,58.0,28.37
L72955,Cardiology,Doctor Referral,Visited website 1 times,Visited 1 pages,Digital Ad,32.0,51.2
L74925,Pediatrics,Word of Mouth,Visited website 6 times,Visited 4 pages,Organic Search,72.0,40.96
L77969,Neurology,Digital Ad,Visited website 5 times,Visited 2 pages,Referral,33.0,49.1
L15311,Pediatrics,Digital Ad,Visited website 5 times,Visited 2 pages,Organic Search,32.0,23.04
L93104,Neurology,Doctor Referral,Visited website 7 times,Visited 2 pages,Referral,70.0,74.35
L63707,Orthopedics,Word of Mouth,Visited website 5 times,Visited 4 pages,Digital Ad,67.0,47.36
L95305,Cardiology,Digital Ad,Visited website 2 times,Visited 3 pages,Organic Search,47.0,67.84
L38693,Cardiology,Digital Ad,Visited website 7 times,Visited 2 pages,Organic Search,56.0,78.14
L81932,Cardiology,Digital Ad,Visited website 4 times,Visited 2 pages,Organic Search,33.0,62.93
L35658,Orthopedics,Word of Mouth,Visited website 4 times,Visited 2 pages,Referral,71.0,49.72
L94478,Neurology,Digital Ad,Visited website 1 times,Visited 4 pages,Referral,36.0,47.41
L28431,Cardiology,Doctor Referral,Visited website 9 times,Visited 2 pages,Referral,32.0,70.15
L12747,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Organic Search,77.0,53.0
L69150,Cardiology,Digital Ad,Visited website 5 times,Visited 1 pages,Digital Ad,65.0,67.43
L75725,Cardiology,Doctor Referral,Visited website 3 times,Visited 1 pages,Digital Ad,30.0,53.35
L94654,Orthopedics,Word of Mouth,Visited website 1 times,Visited 3 pages,Referral,47.0,35.59
L45773,Cardiology,Digital Ad,Visited website 7 times,Visited 2 pages,Referral,45.0,67.95
L77435,Cardiology,Doctor Referral,Visited website 2 times,Visited 2 pages,Referral,48.0,66.77
