account,sales_agent,product,lead_score
Cancity,13,GTX Plus Basic,100.0
Isdom,26,GTXPro,
Cancity,26,MG Special,
Codehow,13,GTX Basic,
Hatfan,22,GTX Basic,
Ron-tech,0,MG Special,
J-Texon,19,MG Special,
Cheers,9,GTX Basic,
Zumgoity,14,GTX Plus Basic,100.0
unknow,4,MG Advanced,
Bioholding,0,MG Special,
Genco Pura Olive Oil Company,2,GTXPro,
Sunnamplex,4,GTX Plus Pro,
Sonron,11,GTX Plus Pro,
Finjob,3,MG Advanced,100.0
Sonron,16,MG Special,
Scotfind,16,MG Advanced,
Treequote,18,MG Special,100.0
Xx-zobam,25,GTXPro,
Rantouch,28,MG Special,98.0
Fasehatice,4,GTX Plus Pro,
Ron-tech,13,MG Special,
Vehement Capital Partners,20,GTX Plus Basic,
Warephase,26,GTX Basic,100.0
Zoomit,6,GTX Basic,
Ganjaflex,11,MG Advanced,
Bioholding,18,MG Special,
Xx-zobam,20,GTX Plus Pro,
Cheers,28,MG Special,
Labdrill,11,GTXPro,
Zotware,17,MG Advanced,
dambase,18,MG Special,
Xx-holding,4,GTXPro,
Fasehatice,7,GTX Basic,100.0
Acme Corporation,15,GTX Basic,
Green-Plus,16,GTX Basic,
The New York Inquirer,21,MG Advanced,
Mathtouch,29,GTX Plus Basic,99.0
Zumgoity,18,MG Special,
Gogozoom,0,MG Special,
Stanredtax,26,GTX Basic,
Konmatfix,26,GTX Plus Basic,99.0
unknow,6,GTX Basic,
Genco Pura Olive Oil Company,10,GTX Plus Basic,
unknow,12,GTXPro,
Conecom,26,MG Advanced,
Golddex,7,GTX Basic,
Plexzap,16,GTX Basic,
Rundofase,26,GTX Plus Basic,0.0
Sonron,4,GTX Plus Pro,
Finhigh,10,GTX Plus Basic,99.0
Finjob,11,GTX Plus Basic,
Ron-tech,14,GTX Basic,
Stanredtax,8,MG Advanced,
Funholding,26,GTXPro,
Gogozoom,26,MG Advanced,
unknow,6,GTX Plus Basic,0.0
Opentech,1,GTXPro,
Silis,27,GTX Plus Pro,99.0
Zoomit,28,GTK 500,
unknow,3,MG Advanced,
Goodsilron,6,GTX Plus Basic,99.0
Cancity,8,MG Advanced,
Rangreen,8,GTX Basic,
Green-Plus,11,GTX Basic,
dambase,14,GTX Plus Basic,100.0
Kan-code,27,GTX Basic,
Nam-zim,3,MG Advanced,
Y-corporation,7,GTXPro,100.0
Ron-tech,8,MG Advanced,97.0
Conecom,10,GTXPro,99.0
Sunnamplex,22,GTX Plus Basic,
Bioplex,24,MG Special,
Gogozoom,26,GTXPro,
Plusstrip,6,GTX Basic,
Toughzap,10,GTX Basic,
Vehement Capital Partners,17,MG Advanced,
Codehow,18,MG Special,
Dalttechnology,19,GTXPro,
Cheers,24,GTX Basic,12.0
Ontomedia,24,GTX Plus Pro,99.0
Kinnamplus,27,MG Special,1.0
unknow,28,MG Advanced,
Codehow,2,GTXPro,
Finhigh,2,MG Advanced,
Lexiqvolax,9,MG Special,
Y-corporation,9,GTX Basic,
Statholdings,0,MG Advanced,99.0
Umbrella Corporation,12,MG Advanced,99.0
J-Texon,25,GTX Plus Basic,
Bubba Gump,6,GTX Plus Basic,
Faxquote,6,GTX Plus Basic,100.0
Codehow,10,GTX Plus Basic,
Dontechi,18,MG Special,100.0
Konex,19,MG Advanced,
Treequote,0,MG Special,100.0
Treequote,23,MG Advanced,94.0
Betasoloin,24,GTX Plus Pro,
Betasoloin,24,GTXPro,
Domzoom,26,MG Special,95.0
Donquadtech,20,MG Special,
Domzoom,0,MG Special,4.0
Finhigh,26,GTXPro,
Globex Corporation,14,GTX Plus Basic,
Plussunin,15,MG Special,
Konex,29,GTX Basic,
Condax,7,GTX Basic,
Opentech,9,MG Advanced,
Konex,16,GTX Basic,
Massive Dynamic,17,GTXPro,
Doncon,22,GTX Plus Pro,
Hatfan,22,GTX Plus Pro,
Genco Pura Olive Oil Company,26,GTX Plus Basic,
Scotfind,7,GTX Basic,
Hatfan,11,GTX Plus Basic,
Stanredtax,18,MG Special,
Scottech,2,MG Special,
Ron-tech,8,MG Special,
Funholding,8,GTX Plus Basic,100.0
Plussunin,21,MG Advanced,97.0
Zotware,12,MG Advanced,
Gekko & Co,20,GTX Basic,
dambase,0,GTX Plus Basic,
Initech,12,MG Advanced,
Gekko & Co,24,GTX Basic,
Konex,24,GTX Basic,
Dontechi,26,GTXPro,
Finhigh,8,MG Advanced,
Cancity,14,GTX Basic,
Y-corporation,19,MG Special,
Ron-tech,26,GTXPro,
Golddex,3,GTX Plus Basic,
Sonron,3,GTX Plus Basic,99.0
Nam-zim,3,MG Special,
Statholdings,5,GTXPro,
Cheers,7,GTX Basic,
Treequote,13,GTX Basic,
Funholding,18,MG Special,
Plusstrip,19,MG Special,
unknow,22,GTX Basic,
Dontechi,26,GTX Basic,
Funholding,26,GTXPro,
Globex Corporation,26,GTX Basic,
Rangreen,26,GTXPro,
Dontechi,13,GTX Plus Basic,
Donquadtech,15,GTX Plus Basic,
Xx-holding,19,GTX Plus Basic,
Initech,24,GTX Basic,
Condax,26,GTXPro,
Ron-tech,26,GTX Plus Pro,99.0
Cancity,2,MG Special,
Doncon,4,GTXPro,
Xx-holding,6,GTX Basic,
Rangreen,10,GTX Plus Pro,
Singletechno,11,GTX Plus Basic,
Donquadtech,1,MG Advanced,
Ontomedia,12,GTX Plus Pro,
unknow,25,GTX Plus Pro,0.0
Yearin,27,MG Advanced,
unknow,4,GTX Basic,
Lexiqvolax,11,GTX Plus Basic,
Codehow,8,GTX Basic,
Plusstrip,9,MG Special,
Labdrill,22,GTX Plus Basic,
Gekko & Co,12,GTX Plus Basic,
Plussunin,25,MG Special,
Umbrella Corporation,25,GTXPro,
dambase,2,MG Special,
J-Texon,3,MG Advanced,
Rangreen,5,MG Special,98.0
Finjob,6,GTX Basic,
Isdom,23,GTX Plus Pro,
Stanredtax,25,GTXPro,7.000000000000001
Plussunin,27,GTXPro,
unknow,4,MG Advanced,
unknow,6,GTX Plus Basic,
Singletechno,6,MG Advanced,99.0
unknow,7,GTX Plus Pro,0.0
Zoomit,9,GTX Plus Pro,
Zathunicon,15,GTX Plus Basic,100.0
Scotfind,19,MG Special,99.0
Betatech,0,MG Special,1.0
Bubba Gump,12,GTX Basic,
Mathtouch,24,GTX Plus Basic,
Vehement Capital Partners,27,GTXPro,
